post,day,time,content_type,views,likes,comments,description,hashtags,alt_information
https://www.instagram.com/p/CqvQOaWodq9/,2023-04-07,14:30:10.000,image,0,2,0,"Attending RSAC™ 2023 April 24th - 27th?\n\nPop by Booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 and catch up with Quantropi Inc. CTO Michael Redding. Bring your questions on the Y2Q Quantum Threat, recent advancements in quantum technology and what it means to today’s encryption, the benefits of BYOK, or anything else cyber-related!\n\nRegister NOW with 52EQUANTRXP for a FREE Expo pass!\n\nSchedule a meeting with Mike today!\nLearn more: http://bit.ly/3GloXBb\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']","Photo by Quantropi on April 07, 2023."
https://www.instagram.com/p/Cqsz6tOoazO/,2023-04-06,15:44:20.000,image,0,7,0,"QiSpace™ is the world’s first hybrid SaaS cryptography platform providing TrUE quantum-secure cryptographic functions and quantum entropy services – for product manufacturers, the IoT &amp; embedded space, governments, and enterprises.\n\nQiSpace™ protects data and communications from quantum and AI attacks.\nAttending RSA Conference? Come visit booth N-5200 to see QiSpace™ – LIVE – powering use cases for IoT and Enterprise Security including the world’s first Quantum-Secure Boot Loader.\n\nAlso, get your hands on some epic swag – notebooks, beanies, hoodies, and Quantropi’s Series 2 Icons of Cryptography collectibles.\n\nRegister NOW with 52EQUANTRXP for a FREE Expo pass!\n\nSchedule a meeting with Quantropi today!\nLearn more: http://bit.ly/3GloXBb\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']","Photo by Quantropi on April 06, 2023."
https://www.instagram.com/p/CqqGonlMEq1/,2023-04-05,14:30:09.000,image,0,11,0,"We’re exhibiting at RSAC™ 2023!\n\nMeet up with Quantropi Inc. Co-founder and CEO James Nguyen at RSA Conference™, San Francisco. 𝗔𝗽𝗿𝗶𝗹 𝟮𝟰𝘁𝗵 𝘁𝗼 𝟮𝟳𝘁𝗵, Booth – 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼!\n\nVisit our booth and watch our TrUE Quantum-Secure Cryptography platform QiSpace™ – LIVE – powering use cases for IoT and Enterprise Security including the world’s first Quantum-Secure Boot Loader.\n\nAlso, get your hands on some epic swag – notebooks, beanies, hoodies, and Quantropi’s Series 2 Icons of Cryptography collectibles.\n\nRegister NOW with 52EQUANTRXP for a FREE Expo pass!\n\nSchedule a meeting with James today!\nLearn more: http://bit.ly/40Z5z4x\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']","Photo by Quantropi on April 05, 2023."
https://www.instagram.com/p/CqYFx_iox43/,2023-03-29,14:36:23.000,image,0,4,0,"#Qi_Quotes By Quantropi Inc. \n\nThe European Union Agency for Network and Information Security (ENISA) has emphasized multiple benefits of Quantum Cryptography, including the authentication of identities and devices. \n\nProtect your data, devices, and systems NOW with Quantropi Inc.’s#QiSpace™. \nLearn more: https://bit.ly/3NzfiJF \n\n#Quantropi#BringItOn#Y2Q#QuantumReadyBoard#informationsecurity#quantumcomputing#technology","['#Qi_Quotes', '#QiSpace™.', '#Quantropi', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology']","Photo by Quantropi on March 29, 2023."
https://www.instagram.com/p/CqTTYjRAt1W/,2023-03-27,17:58:58.000,image,0,10,0,"#Recap\nWe were honoured to participate in the STEM Recruitment Night 2.0 x Ottawa Sports and Entertainment Group (OSEG) networking event, at the TD Place arena, Ottawa.\n\nQuantropi Inc. is proud to be represented by our enterprising female colleagues Lily Hawa and Maria Perepechaenko. What a great night for hockey and networking!\n\n#Quantropi#BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #technology #cyptography #QuantumComputing #Cybersecurity #recruitment #networking #sportsbusiness","['#Recap', '#Quantropi', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#technology', '#cyptography', '#QuantumComputing', '#Cybersecurity', '#recruitment', '#networking', '#sportsbusiness']",
https://www.instagram.com/p/CqLiwY9gQYf/,2023-03-24,17:40:02.000,image,0,Error,Error,"RSAConference™ 2023 is almost five weeks away!\n\nVisit booth N-5200 at the North Expo to watch our TrUE Quantum-Secure Cryptography platform QiSpace™ – LIVE – powering real-world use cases for Enterprise and IoT Security, including the world’s first Quantum-Secure Boot Loader. Plus, epic swag – notebooks, toques, hoodies, and Quantropi’s Series 2 Icons of Cryptography collectibles. See you soon!\n\nCheck out these highlights from last year’s event… and visit quantropi.com to signup for our Q-review Newsletter for all the news that’s fit to decrypt.\nhttps://lnkd.in/ea9sdViz\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",
https://www.instagram.com/p/Cp5OlHuAVBO/,2023-03-17,14:56:44.000,image,0,6,0,"Happy St. Patrick's Day!\n\nStay safe, stay secure, and may you have 'luck of the Irish' with you!\n\n#Quantropi #BringItOn #StPatricksDay #LuckOfTheIrish","['#Quantropi', '#BringItOn', '#StPatricksDay', '#LuckOfTheIrish']","Photo shared by Quantropi on March 17, 2023 tagging @eepmon, @colinosing, @hamo59, @jnfounder, and @quantropi."
https://www.instagram.com/p/Cpu8Rf7Ir31/,2023-03-13,15:04:26.000,image,0,3,0,"The Y2Q Quantum Threat to cryptography will significantly impact the IoT / embedded sector, where compute power is limited, memory space is scarce, and power consumption is of concern.\n\nCatch up with Quantropi Inc. CTO Michael Redding as he delivers an IoT security talk at Inside Quantum Technology- The Hague - on March 15th, 2023.\n\nRegister now: https://lnkd.in/esdv_hS5\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #IQT2023 #TheHague","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#IQT2023', '#TheHague']","Photo by Quantropi in The Hague with @eepmon, @colinosing, @jnfounder, and @quantropi."
https://www.instagram.com/p/Cpiv5YzA04y/,2023-03-08,21:25:20.000,image,0,16,1,"#Breaking \nCheck out the latest edition of Techopia – Quantropi Inc. has been featured as a NEXT-GEN company!\n\nQueen St. Fare hosted a truly incredible night to toast the launch of the publication and to celebrate the success and growth of the industry. The event was attended by Quantropi Inc. CEO James Nguyen and VP Raj Narula\n\nMany thanks to Ottawa Business Journal, @eycanada_ and the sponsors of the magazine for this honour and for bringing together the brightest stars of the Ottawa tech community together for one fabulous night.\n\n#ottawabusinessjournal #Quantropi#BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cyptography #QuantumComputing #Cybersecurity #ottawabusiness #EY","['#Breaking', '#ottawabusinessjournal', '#Quantropi', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cyptography', '#QuantumComputing', '#Cybersecurity', '#ottawabusiness', '#EY']",
https://www.instagram.com/p/CpihH8BNRK_/,2023-03-08,19:16:18.000,image,0,4,0,"Happy International Women’s Day! Today, we celebrate the incredible achievements of women throughout history. We are proud to highlight and honour 𝗠𝗮𝗿𝘆 𝗖𝗮𝗿𝘁𝘄𝗿𝗶𝗴𝗵𝘁 through this special digital portrait by Eric Chan.\n\n𝗪𝗵𝗮𝘁 𝗶𝘀 𝘀𝗵𝗲 𝗯𝗲𝘀𝘁 𝗸𝗻𝗼𝘄𝗻 𝗳𝗼𝗿?\nMary Cartwright was a British mathematician who was one of the pioneers in what would later be known as chaos theory – a relatively new branch of mathematics that deals with surprises, the unpredictability of events and the nonlinearity of life.\n\n𝗪𝗵𝗮𝘁 𝗱𝗶𝗱 𝘀𝗵𝗲 𝘄𝗶𝗻?\nCartwright has won numerous awards including being the first woman recipient of the prestigious De Morgan Medal, the highest award of the London Mathematical Society.\n\nInterested in our limited edition “Icons of Cryptography” collectible series? Message us!\n\n#happyinternationalwomensday #Quantropi #BringItOn","['#happyinternationalwomensday', '#Quantropi', '#BringItOn']","Photo shared by Quantropi on March 08, 2023 tagging @eepmon, @colinosing, and @jnfounder."
